date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:17:23	87172/87172	---MCZ	200	added ('OK')	text/html	etag:W/%22633c2d4d-15484%22	https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template-semi-dark/dashboards-ecommerce.html	D:/template/admin/pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template-semi-dark/dashboards-ecommerce.html	(from )
08:17:23	33/33	---M--	200	added ('OK')	text/plain	etag:%22625d040e-21%22	https://pixinvent.com/robots.txt		(from )
08:17:23	65727/65727	---MCZ	200	added ('OK')	text/css	etag:W/%22633c2d4d-100bf%22	https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/assets/vendor/fonts/boxicons.css	D:/template/admin/pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/assets/vendor/fonts/boxicons.css	(from https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template-semi-dark/dashboards-ecommerce.html)
08:17:24	100931/100931	---MCZ	200	added ('OK')	text/css	etag:W/%22633c2d4d-18a43%22	https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/assets/vendor/fonts/fontawesome.css	D:/template/admin/pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/assets/vendor/fonts/fontawesome.css	(from https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template-semi-dark/dashboards-ecommerce.html)
08:17:24	30531/30531	---MCZ	200	added ('OK')	text/css	etag:W/%22633c2d4d-7743%22	https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/assets/vendor/fonts/flag-icons.css	D:/template/admin/pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/assets/vendor/fonts/flag-icons.css	(from https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template-semi-dark/dashboards-ecommerce.html)
08:17:24	540605/540605	---MCZ	200	added ('OK')	text/css	etag:W/%22633c2d4d-83fbd%22	https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/assets/vendor/css/rtl/core.css	D:/template/admin/pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/assets/vendor/css/rtl/core.css	(from https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template-semi-dark/dashboards-ecommerce.html)
08:17:24	49201/49201	---MCZ	200	added ('OK')	text/css	etag:W/%22633c2d4d-c031%22	https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/assets/vendor/css/rtl/theme-semi-dark.css	D:/template/admin/pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/assets/vendor/css/rtl/theme-semi-dark.css	(from https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template-semi-dark/dashboards-ecommerce.html)
08:17:25	2587/2587	---MCZ	200	added ('OK')	text/css	etag:W/%22633c2d4d-a1b%22	https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/assets/css/demo.css	D:/template/admin/pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/assets/css/demo.css	(from https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template-semi-dark/dashboards-ecommerce.html)
08:17:25	5453/5453	---MCZ	200	added ('OK')	text/css	etag:W/%22633c2d4d-154d%22	https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/assets/vendor/libs/perfect-scrollbar/perfect-scrollbar.css	D:/template/admin/pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/assets/vendor/libs/perfect-scrollbar/perfect-scrollbar.css	(from https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template-semi-dark/dashboards-ecommerce.html)
08:17:25	1736/1736	---MCZ	200	added ('OK')	text/css	etag:W/%22633c2d4d-6c8%22	https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/assets/vendor/libs/typeahead-js/typeahead.css	D:/template/admin/pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/assets/vendor/libs/typeahead-js/typeahead.css	(from https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template-semi-dark/dashboards-ecommerce.html)
