date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:59:56	462/462	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Apr%202020%2023:31:03%20GMT	https://shtheme.org/robots.txt		(from )
08:59:58	86831/86831	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Nov%202022%2001:59:56%20GMT	https://shtheme.org/demosd/amassivx/	D:/template/gold1/shtheme.org/demosd/amassivx/index.html	(from )
08:59:59	258/258	---M--	302	error ('Found')	text/html	date:Mon,%2007%20Nov%202022%2001:59:58%20GMT	http://shtheme.org/demosd/amassivx/wp-content/uploads/2020/04/favicon.ico	D:/template/gold1/shtheme.org/demosd/amassivx/wp-content/uploads/2020/04/favicon.0.delayed	(from https://shtheme.org/demosd/amassivx/)
08:59:59	766/766	---M--	200	added ('OK')	image/x-icon	date:Wed,%2029%20Apr%202020%2014:23:03%20GMT	https://shtheme.org/demosd/amassivx/wp-content/uploads/2020/04/favicon.ico	D:/template/gold1/shtheme.org/demosd/amassivx/wp-content/uploads/2020/04/favicon.ico	(from https://shtheme.org/demosd/amassivx/)
09:00:00	41045/41045	---M--	200	added ('OK')	text/css	date:Thu,%2011%20Jun%202020%2002:55:42%20GMT	https://shtheme.org/demosd/amassivx/wp-includes/css/dist/block-library/style.min.css?ver=5.3.14	D:/template/gold1/shtheme.org/demosd/amassivx/wp-includes/css/dist/block-library/style.min8217.css	(from https://shtheme.org/demosd/amassivx/)
09:00:01	1683/1683	---M--	200	added ('OK')	text/css	date:Wed,%2029%20Apr%202020%2014:23:02%20GMT	https://shtheme.org/demosd/amassivx/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.0.2	D:/template/gold1/shtheme.org/demosd/amassivx/wp-content/plugins/contact-form-7/includes/css/stylesce52.css	(from https://shtheme.org/demosd/amassivx/)
09:00:01	8224/8224	---MC-	200	added ('OK')	application/rss+xml	date:Mon,%2013%20Apr%202020%2009:38:39%20GMT	https://shtheme.org/demosd/amassivx/?feed=comments-rss2	D:/template/gold1/shtheme.org/demosd/amassivx/indexa6da.html	(from https://shtheme.org/demosd/amassivx/)
09:00:01	54688/54688	---MC-	200	added ('OK')	application/rss+xml	date:Tue,%2023%20Mar%202021%2017:19:14%20GMT	https://shtheme.org/demosd/amassivx/?feed=rss2	D:/template/gold1/shtheme.org/demosd/amassivx/indexd784.html	(from https://shtheme.org/demosd/amassivx/)
09:00:02	6951/6951	---M--	200	added ('OK')	text/css	date:Wed,%2029%20Apr%202020%2014:23:02%20GMT	https://shtheme.org/demosd/amassivx/wp-content/themes/amassivx/css/magnific-popup.css?ver=5.3.14	D:/template/gold1/shtheme.org/demosd/amassivx/wp-content/themes/amassivx/css/magnific-popup8217.css	(from https://shtheme.org/demosd/amassivx/)
09:00:02	68606/68606	---M--	200	added ('OK')	text/css	date:Wed,%2029%20Apr%202020%2014:23:02%20GMT	https://shtheme.org/demosd/amassivx/wp-content/themes/amassivx/css/animate.min.css?ver=5.3.14	D:/template/gold1/shtheme.org/demosd/amassivx/wp-content/themes/amassivx/css/animate.min8217.css	(from https://shtheme.org/demosd/amassivx/)
